participant_id	stim_no	question_no	numberofanswers	answers	correct_answers	score
sub-08	5	3	1	3	1	0
sub-08	5	4	1	4	1	0
sub-08	5	5	1	3	1	0
sub-08	5	6	1	1	1	1
sub-08	5	7	2	1  3	1  2	0.5
sub-08	5	8	1	4	1	0
sub-08	5	9	1	1	1	1
sub-08	5	10	1	4	1	0
sub-08	5	11	2	2	1  2	0.5
sub-08	5	12	2	2  3	1  2	0.5
sub-08	6	1	1	1	1	1
sub-08	6	2	3	2  3  4	1  2  3	0.666666666666667
sub-08	6	3	1	2	1	0
sub-08	6	4	1	2	1	0
sub-08	6	5	1	2	1	0
sub-08	6	6	1	2	1	0
sub-08	6	7	2	1	1  2	0.5
sub-08	6	8	1	4	1	0
sub-08	6	9	1	3	1	0
sub-08	6	10	1	2	1	0
sub-08	6	11	2	4	1  2	0
sub-08	6	12	2	3	1  2	0
sub-09	1	1	1	2	1	0
sub-09	1	2	1	3	1	0
sub-09	1	3	3	4	1  2  3	0
sub-09	1	4	1	1	1	1
sub-09	1	5	1	2	1	0
sub-09	1	6	1	2	1	0
sub-09	1	7	1	2	1	0
sub-09	1	8	1	3	1	0
sub-09	1	9	2	1	1  2	0.5
sub-09	1	10	1	3	1	0
sub-09	1	11	3	1	1  2  3	0.333333333333333
sub-09	1	12	4	1	1  2  3  4	0.25
sub-09	2	1	1	4	1	0
sub-09	2	2	3	3	1  2  3	0.333333333333333
sub-09	2	3	1	2	1	0
sub-09	2	4	1	1	1	1
sub-09	2	5	1	4	1	0
sub-09	2	6	1	3	1	0
sub-09	2	7	1	1	1	1
sub-09	2	8	2	4	1  2	0
sub-09	2	9	1	4	1	0
sub-09	2	10	1	1	1	1
sub-09	2	11	1	1	1	1
sub-09	2	12	3	2	1  2  3	0.333333333333333
sub-09	3	1	1	3	1	0
sub-09	3	2	3	4	1  2  3	0
sub-09	3	3	1	1	1	1
sub-09	3	4	1	2	1	0
sub-09	3	5	1	1	1	1
